goos: darwin
goarch: amd64
pkg: std/net/url
BenchmarkQueryEscape/#02-8 	20000000	        86.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryEscape/#02-8 	20000000	        83.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryEscape/#02-8 	20000000	        86.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryEscape/#02-8 	20000000	        84.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryEscape/#02-8 	20000000	        86.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryEscape/#02-8 	20000000	        82.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryEscape/#02-8 	20000000	        81.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryEscape/#02-8 	20000000	        85.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryEscape/#02-8 	20000000	        78.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryEscape/#02-8 	20000000	        79.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryEscape/#02-8 	20000000	        80.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryEscape/#02-8 	20000000	        87.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       168 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       152 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       153 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       165 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       162 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       163 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       161 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       165 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       175 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       163 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       164 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       162 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       162 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       160 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       162 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       161 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       157 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       159 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       161 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#03-8 	10000000	       168 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1051 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1020 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1027 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1065 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 2000000	      1030 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 2000000	      1008 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 2000000	      1014 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1020 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1065 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1074 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1061 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1033 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1033 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1115 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1032 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1049 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1015 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 1000000	      1003 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 2000000	       992 ns/op	     832 B/op	       2 allocs/op
BenchmarkQueryEscape/#04-8 	 2000000	       967 ns/op	     832 B/op	       2 allocs/op
BenchmarkPathEscape/#00-8  	50000000	        40.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        40.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        44.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        43.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        42.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        39.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        40.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        42.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        40.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	50000000	        39.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        41.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        40.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        41.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	50000000	        41.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	50000000	        41.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        41.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        42.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	30000000	        40.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	50000000	        39.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#00-8  	50000000	        40.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       105 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       110 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       105 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       104 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       102 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       104 ns/op	      64 B/op	       1 allocs/op
